surname,lap,position
Albon,1,17
Albon,2,16
Albon,3,16
Albon,4,16
Albon,5,15
Albon,6,15
Albon,7,15
Albon,8,15
Albon,9,15
Albon,10,15
Albon,11,15
Albon,12,16
Albon,13,20
Albon,14,20
Albon,15,18
Albon,16,16
Albon,17,16
Albon,18,16
Albon,19,16
Albon,20,15
Albon,21,15
Albon,22,15
Albon,23,14
Albon,24,14
Albon,25,13
Albon,26,12
Albon,27,12
Albon,28,11
Albon,29,11
Albon,30,11
Albon,31,11
Albon,32,11
Albon,33,11
Albon,34,11
Albon,35,12
Albon,36,15
Albon,37,15
Albon,38,15
Albon,39,15
Albon,40,15
Albon,41,15
Albon,42,15
Albon,43,15
Albon,44,15
Albon,45,14
Albon,46,13
Albon,47,13
Albon,48,13
Albon,49,13
Albon,50,13
Albon,51,13
Albon,52,13
Albon,53,13
Albon,54,13
Albon,55,13
Albon,56,12
Albon,57,13
Alonso,1,10
Alonso,2,10
Alonso,3,10
Alonso,4,10
Alonso,5,10
Alonso,6,10
Alonso,7,10
Alonso,8,10
Alonso,9,10
Alonso,10,10
Alonso,11,10
Alonso,12,10
Alonso,13,10
Alonso,14,9
Alonso,15,9
Alonso,16,7
Alonso,17,7
Alonso,18,6
Alonso,19,7
Alonso,20,14
Alonso,21,14
Alonso,22,13
Alonso,23,12
Alonso,24,11
Alonso,25,11
Alonso,26,10
Alonso,27,10
Bottas,1,20
Bottas,2,20
Bottas,3,20
Bottas,4,20
Bottas,5,20
Bottas,6,20
Bottas,7,20
Bottas,8,20
Bottas,9,19
Bottas,10,19
Bottas,11,19
Bottas,12,19
Bottas,13,18
Bottas,14,16
Bottas,15,13
Bottas,16,11
Bottas,17,12
Bottas,18,12
Bottas,19,13
Bottas,20,10
Bottas,21,11
Bottas,22,11
Bottas,23,13
Bottas,24,13
Bottas,25,14
Bottas,26,14
Bottas,27,15
Bottas,28,15
Bottas,29,15
Bottas,30,17
Bottas,31,18
Bottas,32,18
Bottas,33,18
Bottas,34,18
Bottas,35,18
Bottas,36,18
Bottas,37,18
Bottas,38,16
Bottas,39,17
Bottas,40,17
Bottas,41,17
Bottas,42,17
Bottas,43,17
Bottas,44,17
Bottas,45,17
Bottas,46,17
Bottas,47,17
Bottas,48,17
Bottas,49,17
Bottas,50,17
Bottas,51,17
Bottas,52,17
Bottas,53,16
Bottas,54,16
Bottas,55,16
Bottas,56,15
Bottas,57,15
Gasly,1,18
Gasly,2,18
